date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:44	123/123	---M--	200	added ('OK')	text/html	etag:%22d62ec7-7b-45351e5944b00%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/neg.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/neg.html	(from )
11:54:44	123/123	---M--	200	added ('OK')	text/html	etag:%22d62ec9-7b-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/nor.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/nor.html	(from )
11:54:45	121/121	---M--	200	added ('OK')	text/html	etag:%22d62ecb-79-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/or.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/or.html	(from )
11:54:45	123/123	---M--	200	added ('OK')	text/html	etag:%22d62ecd-7b-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/orc.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/orc.html	(from )
11:54:45	123/123	---M--	200	added ('OK')	text/html	etag:%22d62ecf-7b-45351e5944b00%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/ori.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/ori.html	(from )
11:54:46	125/125	---M--	200	added ('OK')	text/html	etag:%22d62ed1-7d-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/oris.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/oris.html	(from )
11:54:46	129/129	---M--	200	added ('OK')	text/html	etag:%22d62ed3-81-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/rlwimi.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/rlwimi.html	(from )
11:54:47	158/158	---M--	200	added ('OK')	text/html	etag:%22d62ed6-9e-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/rlwinm.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/rlwinm.html	(from )
11:54:47	127/127	---M--	200	added ('OK')	text/html	etag:%22d62ed8-7f-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/rlwnm.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/rlwnm.html	(from )
11:54:47	123/123	---M--	200	added ('OK')	text/html	etag:%22d62eda-7b-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/slw.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/slw.html	(from )
11:54:48	125/125	---M--	200	added ('OK')	text/html	etag:%22d62edc-7d-45351e5944b00%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/sraw.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/sraw.html	(from )
11:54:48	127/127	---M--	200	added ('OK')	text/html	etag:%22d62ede-7f-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/srawi.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/srawi.html	(from )
11:54:49	123/123	---M--	200	added ('OK')	text/html	etag:%22d62ee0-7b-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/srw.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/srw.html	(from )
11:54:49	123/123	---M--	200	added ('OK')	text/html	etag:%22d62ee2-7b-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stb.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stb.html	(from )
11:54:49	125/125	---M--	200	added ('OK')	text/html	etag:%22d62ee4-7d-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stbu.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stbu.html	(from )
11:54:50	127/127	---M--	200	added ('OK')	text/html	etag:%22d62ee6-7f-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stbux.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stbux.html	(from )
11:54:50	125/125	---M--	200	added ('OK')	text/html	etag:%22d62ee8-7d-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stbx.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stbx.html	(from )
11:54:51	123/123	---M--	200	added ('OK')	text/html	etag:%22d62eea-7b-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/sth.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/sth.html	(from )
11:54:51	129/129	---M--	200	added ('OK')	text/html	etag:%22d62eec-81-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/sthbrx.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/sthbrx.html	(from )
11:54:51	125/125	---M--	200	added ('OK')	text/html	etag:%22d62eee-7d-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/sthu.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/sthu.html	(from )
11:54:52	127/127	---M--	200	added ('OK')	text/html	etag:%22d62ef0-7f-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/sthux.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/sthux.html	(from )
11:54:52	125/125	---M--	200	added ('OK')	text/html	etag:%22d62ef2-7d-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/sthx.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/sthx.html	(from )
11:54:52	125/125	---M--	200	added ('OK')	text/html	etag:%22d62ef4-7d-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stmw.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stmw.html	(from )
