date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:53	125/125	U-----	200	untouched ('OK')	text/html	etag:%22d62f02-7d-45351e5944b00%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stwx.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stwx.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:38:54	32063/32063	---M--	200	added ('OK')	image/gif	etag:%22d62efd-7d3f-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stwu.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stwu.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:38:55	125/125	U-----	200	untouched ('OK')	text/html	etag:%22d62f04-7d-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subf.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subf.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:38:56	53994/53994	---M--	200	added ('OK')	image/gif	etag:%22d62efb-d2ea-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stwbrx.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stwbrx.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:38:56	36751/36751	---M--	200	added ('OK')	image/gif	etag:%22d62eff-8f8f-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stwux.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stwux.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:38:57	127/127	U-----	200	untouched ('OK')	text/html	etag:%22d62f06-7f-45351e5944b00%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfc.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfc.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:38:57	31488/31488	---M--	200	added ('OK')	image/gif	etag:%22d62f01-7b00-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stwx.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/stwx.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:38:57	127/127	U-----	200	untouched ('OK')	text/html	etag:%22d62f08-7f-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfe.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfe.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:38:58	129/129	U-----	200	untouched ('OK')	text/html	etag:%22d62f0a-81-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfic.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subfic.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:39:00	43418/43418	---M--	200	added ('OK')	image/gif	etag:%22d62f03-a99a-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subf.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/subf.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
